date,arrival,price,source,version,updatedAt
115.5.24,61000,111,CSV Demo,CSV Import,115.6.2
115.5.25,66000,113,CSV Demo,CSV Import,115.6.2
115.5.26,59000,112,CSV Demo,CSV Import,115.6.2
115.5.27,73000,116,CSV Demo,CSV Import,115.6.2
115.5.28,70000,115,CSV Demo,CSV Import,115.6.2
115.5.29,64000,114,CSV Demo,CSV Import,115.6.2
115.5.30,68000,117,CSV Demo,CSV Import,115.6.2
115.5.31,75000,119,CSV Demo,CSV Import,115.6.2
115.6.1,72000,118,CSV Demo,CSV Import,115.6.2
115.6.2,80000,120,CSV Demo,CSV Import,115.6.2
